French,English
Tout,All
Cela,That
serait,would be
fort,strong
frais,costs
lieu,place
gestion,management
font,make
quand,when
capital,capital
gouvernement,government
projet,project
grands,great
réseau,network
l'autre,the other
données,data
prendre,to take
plan,plan
points,points
outre,outraged
pourtant,yet
Ainsi,Thereby
ni,or
type,type
Europe,Europe
pendant,during
Comme,As
mesure,measure
actuellement,currently
public,public
dire,to say
important,important
mis,put
partir,go
parfois,sometimes
nom,name
n'ont,have
veut,wants
présent,here
passé,pass
forme,form
autant,so much
développement,development
mettre,to put
grandes,great
vue,seen
investisseurs,investors
D,D
trouve,find
maison,House
mal,wrong
l'an,yearly
moyen,way
choix,choice
doivent,must
NLG,Nlg
direction,direction
Sur,On
simple,simple
période,period
enfants,kids
dollars,dollars
personnel,staff
assez,quite
programme,program
général,general
banques,banks
eux,them
semaine,week
président,President
personne,anybody
européenne,European
moyenne,mean
tard,late
loi,law
petite,small
certaines,some
savoir,know
loin,far
explique,Explain
plupart,mostly
jeunes,youth
cinq,five
contrat,contract
Banque,Bank
valeurs,values
seule,single
rendement,yield
nombreux,numerous
fonction,function
offre,offer
client,customer
activités,activities
eu,eu
environ,about
ministre,Minister
cadre,framework
sens,sense
étaient,were
sécurité,security
recherche,research
Paris,Paris
sorte,sort
décembre,December
Son,His
suite,following
davantage,any further
ensuite,then
janvier,January
donne,given
vrai,true
cause,cause
d'abord,first of all
conditions,terms
suis,am
juin,June
peine,sadness
certain,certain
septembre,September
sommes,are
famille,family
l'indice,The index
pris,taken
laquelle,which
directeur,director
qu'en,in
propose,offers
gens,people
derniers,last
étant,being
fut,was
chose,thing
portefeuille,wallet
obligations,obligations
afin,in order to
différents,different
technique,technical
Aujourd'hui,Today
ailleurs,elsewhere
P,P
l'ensemble,all
américain,American
ventes,sales
Selon,According to
rue,Street
livre,delivered
octobre,October
vraiment,really
sein,breast
Or,Gold
dollar,dollar
Enfin,At last
haut,high
Plus,More
petits,small
porte,door
tel,Phone
durée,duration
domaine,domain
aurait,would have
jeune,young
présente,present
passe,past
PC,Pc
lorsque,when
choses,things
puis,then
Vous,You
aucun,no
l'un,Mon
n'en,not
tandis,while
coup,cut
existe,exist
propre,own
carte,menu
crise,crisis
importante,important
atteint,achieved
revenus,income
montant,amount
forte,strong
ici,here
s'il,if he
Quant,As to
vu,seen
rapidement,quickly
j'ai,I have
ville,city
etc,etc
mars,March
s'en,it
mon,my
premiers,first
bas,low
marque,Mark
véritable,true
ligne,line
longtemps,long time
propres,unclear
devant,before
passer,pass
départ,departure
pu,could
total,total
série,series
quoi,what
particulier,particular
concurrence,competetion
élevé,raised
position,position
connu,known
principe,principle
tendance,tendency
court,short
n,not
pages,pages
évidemment,obviously
résultat,results
aura,will have
parmi,among
Sans,Without
américaine,american
face,face
trouver,to find
durant,during
femmes,women
construction,construction
désormais,from now on
distribution,distribution
telle,such
difficile,hard
autour,around
européen,European
pratique,practice
centre,center
vendre,to sell
juillet,July
mai,may
région,region
sociale,social
filiale,subsidiary company
film,movie
h,h
besoin,need
mode,fashion
Pas,Not
représente,represented
réalité,reality
femme,women
vaut,worth
Tél,Phone
aucune,none
hommes,men
donner,to give
titres,securities
l'Europe,Europe
nombreuses,many
différentes,different
moyens,ways
formation,training
chiffres,figures
Générale,General
dix,ten
prochain,next
l'Etat,the state
genre,kind
bureau,office
communication,communication
participation,participation
gros,fat
pourquoi,Why
estime,valued
devient,bECOMES
réalisé,executed
création,creation
novembre,November
l'évolution,the evolution
pourra,may
semaines,weeks
consommation,consumption
faible,weak
terrain,ground
site,site
droits,rights
moitié,half
puisque,since
Du,Of
reprise,reprise
compris,understood
projets,projects
avril,April
vont,are going
call,call
donné,given
simplement,simply
six,six
firme,firm
perte,loss
Bien,Well
Philippe,Philippe
sait,know
prend,take
vite,quick
via,via
stratégie,strategy
vos,your
jeu,Game
J',I
petites,small
marketing,marketing
presque,almost
Michel,Michel
manque,lack
réaliser,to achieve
financiers,financiers
Car,Because
Comment,How? 'Or' What
voiture,car
chef,chief
constitue,constitute
Internet,Internet
J'ai,I have
enfin,finally
net,net
charge,charged
nature,nature
second,second
payer,to pay
actuel,current
Elles,They
investissements,investment
dispose,feature
financier,financial
d'achat,purchase
membres,members
date,dated
avaient,had
gamme,range
revanche,revenge
comment,How? 'Or' What
décision,decision
l'avenir,the future
tour,tower
actionnaires,shareholders
s'y,there
solution,solution
créer,to create
l'économie,The economy
concerne,concerning
l'époque,the time
belle,beautiful
lequel,who
tél,Phone
seconde,second
version,version
Pays-Bas,Netherlands
cher,Dear
chacun,each
lire,read
techniques,techniques
décidé,decided
mouvement,movement
conseil,advice
nécessaire,necessary
meilleur,better
double,double
sujet,topic
généralement,generally
restent,remain
celles,those
politiques,policies
malgré,despite
confiance,confidence
homme,man
d'actions,actions
Certains,Some
ayant,having
papier,paper
commerce,trade
Région,Region
Wallonie,Wallonia
Windows,Windows
termes,terms
met,put
contraire,contrary
informations,information
l'industrie,industry
trimestre,trimester
E,E
différence,difference
certaine,certain
formule,formula
jusqu'au,until
voit,sees
programmes,programs
actuelle,current
permis,license
dossier,case
Quand,When
l'heure,time
guerre,war
acheter,to buy
rendre,to return
février,February
ma,my
l'emploi,job
main,hand
voire,even
bons,good
technologie,technology
européens,European
Sa,Her
éléments,elements
unique,unique
l'eau,the water
venir,to come
générale,general
courant,running
suffit,suffice
l'ordre,order
conserver,preserve
maximum,maximum
force,strength
fax,fax
Que,that
largement,widely
milliard,billion
soient,are
Pierre,rock
devenir,to become
l'Union,The union
franc,franc
minimum,minimum
mort,dead
responsable,responsible
possibilité,possibility
presse,hurry
affaires,business
longue,long
travers,through
M,M
BBL,Bubl
relativement,relatively
moi,me
Deux,Of them
présence,presence
européennes,European
devraient,should
groupes,groups
ensemble,together
santé,health
New,New
pense,think
bénéfices,benefits
but,goal
compagnie,company
publique,public
coeur,heart
revenu,returned
mesures,measures
table,table
nettement,clearly
questions,Questions
d'avoir,having
permettre,to allow
l'homme,the man
Chez,At the house of
retour,return
qu'elles,they
C,VS
majorité,majority
potentiel,potential
moindre,lower
récemment,recently
secteurs,sectors
réduction,reduction
large,large
traitement,processing
perdu,lost
étrangers,foreigners
parents,parents
l'une,moon
fond,background
capacité,capacity
vitesse,speed
activité,activity
l'exercice,exercise
l'objet,the object
quel,what
tient,is holding
taille,cut
éviter,to avoid
risques,risks
Jean,Jeans
Pourtant,However
Allemagne,Germany
parler,speak
propos,about
quant,as to
signifie,mean
voie,way
jouer,to play
prévoit,plans
blanc,White
noir,black
parti,left
logiciel,software
continue,keep on going
Notre,Our
bois,drink
meilleure,best
l'argent,money
perspectives,perspective
développer,develop
celui-ci,this one
oeuvre,artwork
structure,structure
suivre,to follow
tiers,third
prise,socket
professionnels,professional
raisons,reasons
néanmoins,However
preuve,evidence
social,social
bénéficiaire,beneficiary
couleurs,colors
mondial,global
Cet,This
maintenant,now
essentiellement,essentially
prévu,planned
Japon,Japan
prévisions,forecasts
centrale,central
Alors,Then
international,international
yeux,eyes
PME,SME
l'a,the
ait,have
bonnes,good
opérations,operations
pied,foot
l'art,art
pourraient,might
Londres,London
juge,judge
devra,will have to
uniquement,uniquely
corps,body
divers,various
Parmi,Among
numéro,number
réduire,reduce
Tous,All
texte,text
tenu,tenuous
budget,budget
l'étranger,foreigner
pression,pressure
mes,my
n'était,was not
style,style
économiques,economic
Jacques,Jacques
montre,show
population,population
analystes,analysts
S,S
processus,process
placement,placement
classique,classic
dividende,dividend
rester,to stay
publics,public
fortement,strongly
plein,full
wallonne,Walloon
DEM,Dem
Express,Express
faudra,will have
travailler,work
Crédit,Credit
directement,directly
prime,premium
Flandre,Flanders
crédit,credit
monnaie,cash
précise,precise
appel,call
Autre,Other
travaux,works
l'occasion,occasion
juste,just
Chaque,Each
put,put
tableau,board
terre,Earth
permettent,allow
devenu,to have become
rouge,Red
mémoire,memory
partenaires,partners
rapide,fast
travailleurs,workers
joue,play
objectif,goal
salle,room
parle,speak
musique,music
milieu,environment
d'entreprise,corporate
autorités,authorities
chute,fall
régime,diet
d'autant,especially
liste,listing
opération,surgery
bout,end
performances,performance
électronique,electronic
haute,high
responsables,responsible
lancé,spear
voitures,cars
patron,boss
Malgré,Despite
affiche,attach
situe,situated
B,B
l'image,the image
études,studies
Microsoft,Microsoft
condition,condition
retrouve,found
Aux,Of
revient,come back
Belgacom,Belgacom
route,road
Ensuite,Next
Luxembourg,Luxembourg
campagne,campaign
comptes,accounts
hors,except
culture,culture
Commission,Commission
d'entre,of
possibilités,possibilities
semestre,semester
actifs,assets
finalement,ultimately
internationale,international
l'achat,procurement
monétaire,monetary
passage,passage
of,of
justice,justice
page,page
tels,such
poids,weight
celle-ci,this one
commercial,commercial
entendu,understood
l'investisseur,the investor
mondiale,world
accord,OK
diverses,various
totalement,totally
fil,wire
clair,clear
vin,wine
biens,goods
euro,euro
York,York
parfaitement,perfectly
viennent,are coming
division,division
réseaux,networks
principal,main
lancer,to throw
supérieur,superior
atteindre,to reach
référence,reference
téléphone,telephone
management,management
vins,wines
proche,close
collection,collection
fiscale,tax
Ceci,this
informatique,computer science
investissement,investment
volume,volume
matériel,equipment
publicité,advertising
train,train
coupon,coupon
progression,progression
tenir,hold
protection,protection
l'aide,ugly
couleur,color
nouvel,new
Lorsque,When
change,exchange
changement,change
garantie,guarantee
somme,sum
Belge,Belgian
plaisir,pleasure
fils,son
laisse,leash
importants,important
privé,private
ses,his
besoins,needs
oeuvres,works
américains,Americans
relations,relations
peau,skin
moteur,motor
augmentation,increase
suivi,regular
volonté,will
beau,beautiful
bancaire,banking
laisser,let
bureaux,offices
principalement,principally
intéressant,interesting
logiciels,software
sommet,Mountain peak
l'activité,the activity
d'en,in
vivre,to live
élevés,students
Robert,Robert
contrats,contracts
oublier,to forget
performance,performance
réponse,reply
d'exploitation,operating
concept,concept
obtenir,get
poste,job
attendre,wait
lignes,lines
consiste,is
augmenté,increase
vert,green
Ou,Or
figure,figure
mot,word
développé,developed
l'histoire,the story
magasins,stores
collaboration,collaboration
répondre,to respond
TVA,VAT
holding,holder
G,G
livres,books
convient,agrees
fonctions,functions
fera,will do
pouvait,could
million,million
Paul,Paul
britannique,British
d'entreprises,corporate
voix,voice
Grande-Bretagne,Britain
disque,disk
affaire,case
minutes,minutes
quelle,what
contexte,context
limite,limit
mains,hands
commun,common
réduit,reduced
Pourquoi,Why
particuliers,individuals
verre,glass
wallon,Walloon
d'Etat,state
allemand,German
effets,effects
Chine,China
meilleurs,best
rend,make
applications,applications
d'ici,from here
procédure,procedure
l'opération,the operation
devait,be
profit,profit
méthode,method
pose,pose
commence,begin
idée,idea
l'Internet,the Internet
d'eau,water
créé,created
nuit,night
Nord,North
capitaux,capital
options,options
consommateur,consumer
cartes,cards
soi,self
métier,job
probablement,probably
aller,go
d'investissement,investment
facile,easy
International,International
importantes,important
Marc,Marc
capitale,capital city
devise,currency
prochaine,next
transport,transport
Street,Street
demander,request
utilisateurs,users
l'affaire,the case
image,picture
l'idée,the idea
propriétaire,owner
facilement,easily
publiques,public
croire,to believe
disponible,available
Louis,Louis
d'or,Golden
veulent,want
Charleroi,Charleroi
Ne,Born
consommateurs,consumer
devises,currency
difficultés,difficulties
sort,fate
national,national
machines,machines
annoncé,announcement
choisi,selected
découvrir,discover
soutien,support
avez,have
perdre,to lose
cuisine,food
telles,such
D'autres,Others
travaille,work
R,R
ouvert,open
phase,phase
certainement,certainly
télévision,television
pratiquement,virtually
annuel,annual
bord,edge
paiement,payment
Bank,Bank
institutions,institutions
seuls,only
arrive,come
constate,noted
marques,marks
nationale,national
regard,look
représentent,represent
Belges,Belgian
état,state
Qui,who
libre,free
rachat,redemption
Toutefois,Nevertheless
portes,doors
sortir,go out
commandes,orders
permettant,allowing
manager,manager
fiscal,tax
cinéma,movie theater
histoire,story
zone,zoned
sauf,except
avantages,advantages
l'information,information
voici,here is
dur,hard
effectivement,effectively
puisse,can
réel,real
The,Tea
puissance,power
fixe,fixed
Belgium,Belgium
contact,contact
époque,era
rythme,rhythm
principaux,main
vendu,sold
utilisé,used
étude,study
Leur,Their
sensible,sensitive
Bref,Short
rencontre,meet
L'entreprise,The company
spécialistes,specialists
brut,raw
mauvais,Wrong
néerlandais,Dutch
supplémentaire,additional
mots,words
reprises,reversal
nécessaires,required
Non,No
soir,evening
Prix,Price
machine,machine
penser,to think
CD,CD
parts,units
comprend,understand
fusion,fusion
acquis,acquired
totale,total
voyage,trip
logique,logic
l'échéance,deadline
concurrents,competitors
idées,ideas
trouvé,find
dette,debt
Sud,South
réellement,Actually
financement,funding
disponibles,available
vieux,old
lance,spear
marge,margin
dirigeants,leaders
avis,opinion
changer,switch
conséquence,result
sociales,social
supérieure,superior
Certes,Certainly
faisant,making
ordinateur,computer
partenaire,partner
warrant,warrant
fabrication,manufacturing
redressement,recovery
suffisamment,enough
délégué,delegate
pourront,can
poursuit,pursue
chemin,path
emplois,jobs
l'environnement,the environment
réalise,executed
FRF,FRF
évolution,evolution
Cour,court
automobile,automotive
Premier,First
ancien,old
note,note
parties,parts
pension,pension
professionnel,professional
assure,ensures
garder,keep
Rien,Nothing
Actuellement,Currently
DE,OF
S'il,If he
l'administration,the administration
Guy,Guy
est-il,is it
IBM,Ibm
climat,weather
d'acheter,to buy
SICAV,Sicav
département,department
sept,seven
partout,all over
immobilier,immovable
lancement,launch
rating,rating
réussi,succeeded
patrimoine,patrimony
feu,fire
expérience,experience
Anvers,Antwood
anciens,old
graphique,graphic
Fortis,Frantis
faveur,favor
retrouver,to regain
droite,law
responsabilité,responsibility
commande,ordered
Kredietbank,Kredietbank
d'argent,silver
direct,direct
l'inflation,inflation
n'avait,did not have
utiliser,use
tonnes,tons
l'origine,the origin
connaissance,awareness
acheté,purchased
Ici,here
américaines,American
clairement,clearly
semblent,appear
biais,bias
futur,future
neuf,nine
chance,luck
faillite,bankruptcy
km,km
équipe,team
musée,Museum
compagnies,company
documents,documents
pertes,losses
sortie,exit
m'a,my
seraient,would be
d'autre,else
choisir,Choose
l'instant,the moment
tellement,such
industriel,industrial
précompte,withdrawn
d'Europe,Europe
immédiatement,at once
avantage,advantage
qu'au,than the
constituent,constitute
déchets,waste
sport,sport
van,van
demeure,remains
garde,keep
maisons,houses
Solvay,Solvay
conséquences,consequences
KB,Kb
l'offre,the offer
active,active
dépenses,expenditure
donnent,give
employés,employees
sites,Site (s
élections,elections
détient,holds
n'importe,anything
obligation,obligation
fruits,fruits
véhicule,vehicle
l'égard,respecting
Conseil,advice
investi,invested
mission,mission
profiter,take advantage
visite,visit
comprendre,understand
professionnelle,professional
affirme,affirm
l'intérieur,inside
Wall,Wall
charges,burden
privée,private
rares,rare
succession,succession
liberté,freedom
rentabilité,profitability
suivant,following
efficace,effective
assurer,to assure
images,images
agences,agencies
impossible,impossible
m,m
John,John
enfant,child
fournisseurs,suppliers
photo,Photo
salaires,wages
Avant,Before
compter,to count
l'Est,ballast
disposition,disposition
formes,shapes
bénéficiaires,beneficiaries
lesquels,which
maintenir,to keep
précisément,precisely
couple,couple
enregistré,checked in
recul,recoil
offrir,to offer
peur,fear
hauteur,height
centres,centers
voulu,desired
industrielle,industrial
positif,positive
Luc,Lucous
administrateur,administrator
intéressante,interesting
commerciale,commercial
interne,internal
pleine,full
passant,passing
vision,vision
GSM,Gsm
faits,fact
retard,delay
certes,certainly
l'air,the air
lundi,Monday
Outre,Outraged
porter,carry
écrit,writing
cesse,cease
locaux,local
délai,time limit
trouvent,find
classiques,classic
commencé,begin
réalisée,carried out
Alain,Alain
vigueur,vigor
gagner,to win
Celui-ci,This one
Philips,Philips
ceux-ci,these
favorable,favorable
pouvoirs,powers
participations,participation
annonce,announcement
génération,generation
élément,element
devenue,become
touche,hit
conseils,advice
devoir,to have to
mer,sea
souligne,highlighted
respectivement,respectively
rapports,reports
vacances,vacation
lieux,premises
naturellement,naturally
d'y,y
lorsqu'il,when
statut,status
USA,USA
ceci,this
destiné,destined
défaut,fault
objectifs,Goals
récente,recent
saison,season
d'art,art
industriels,industrial
Suisse,Swiss
catégorie,category
complexe,complex
huit,eight
l'obligation,the obligation
fisc,tax
obtenu,got
repris,taken back
occupe,to keep busy
sérieux,serious
émis,issued
Quelques,A few
comportement,behviour
limité,limit
vingt,twenty
conjoncture,conjuncture
gauche,left
marche,walk
d'origine,original
l'utilisateur,the user
ordre,order
mobilier,furniture
parcours,journey
perspective,perspective
normes,standards
recours,appeal
l'esprit,the mind
Communauté,Community
annuelle,annual
T,T
lecteur,reader
objets,objects
fabricant,maker
niveaux,levels
Entre,Between
réalisation,production
amateurs,amateur
conséquent,consequent
présenter,to present
Celle-ci,This one
vise,aims
types,guys
détail,detail
mauvaise,nad
professeur,professor
progressé,progressive
signe,sign
passée,past
approche,approach
p,p
Reste,Rest
return,return
jardin,garden
l'espace,space
flamand,Flemish
Namur,Namur
bilan,balance sheet
Vif,Lively
sensiblement,substantially
Trois,Three
utilise,use
commune,common
dimanche,Sunday
option,option
partis,gone
analyse,to analyse
films,movies
surface,area
warrants,warrants
GBP,GBP
prises,taken
secret,secret
historique,historical
journée,daytime
l'ancien,the old
Pendant,While
allemande,German
d'assurance,insurance
André,André
fille,girl
l'importance,importance
proposer,to propose
avions,planes
x,x
augmenter,to augment
parc,Park
Delhaize,Delhaize
the,tea
Lors,During
limitée,limited
appareils,appliances
villes,cities
au-dessus,above
diminution,decrease
prochaines,upcoming
servir,to serve
Bernard,Bernard
commission,commission
faiblesse,weakness
plus-value,capital gain
souhaite,wish
internationales,international
producteur,producer
producteurs,producers
code,coded
belles,nice
cabinet,cabinet
fonctionnement,functioning
FF,Ff
gérer,to manage
cm,cm
mouvements,move
pratiques,practice
régions,regions
dossiers,folders
meilleures,best
Parce,By
entrée,Entrance
vendredi,Friday
actif,active
sociaux,social
supplémentaires,extra
café,Coffee
message,message
physique,physical
Société,Society
communes,municipalities
dizaine,dozen
faute,mistake
sélection,selection
source,source
facteurs,factors
milliers,thousands
soleil,Sun
tirer,Pull
concernant,regarding
Bourses,Scholarships
fallait,fell
sentiment,feeling
bénéficier,benefit
débat,debate
l'Allemagne,Germany
élevée,high
ouvrage,work
police,police
pouvez,can
attention,Warning
a-t-il,does he have
bel,good
constructeurs,manufacturers
contribuable,taxpayer
moderne,modern
passion,passion
primes,premiums
in,in
suit,follows
auquel,wherever
dépasse,outrun
spécialisée,specialized
bruxellois,brussels
déclaration,declaration
multiples,multiple
quartier,district
vidéo,video
dépend,depends
l'école,school
liquidités,liquidity
correction,correction
CA,THAT
comité,committee
Web,Web
cherche,look for
filiales,subsidiaries
Sous,Under
signé,sign
leader,leader
calcul,calculation
gaz,gas
D'abord,First of all
Rens,Pound
artistes,artists
déficit,deficit
cadres,frames
fédéral,federal
probable,likely
remboursement,refund
and,and
efforts,efforts
restaurant,restaurant
Toutes,All
couverture,blanket
domicile,residence
soins,care
devront,will have to
luxe,luxury
complet,full
danger,danger
indispensable,essential
syndicats,unions
comporte,comprises
faite,done
juridique,legal
langue,tongue
rendez-vous,appointment
d'informations,information
demandé,demand
respect,respect
continuer,Continue
l'organisation,the organization
lesquelles,which
local,local
l'impression,the impression
n'existe,does not exist
rare,rare
restructuration,restructuring
automatiquement,automatically
plat,flat
boursier,stock
sol,ground
c'était,it was
cotées,listed
décide,decided
L'action,The action
Cependant,However
Certaines,Some
matériaux,materials
ordinateurs,computers
tradition,tradition
V,V
progressivement,gradually
capable,able
classe,class
familiale,family
réserve,Reserve
fonctionne,operate
solutions,solutions
LA,THE
fabricants,manufacturers
paie,pay
Finances,Finance
l'été,summer
réelle,actual
changé,exchange
masse,mass
unités,units
considéré,considered
fer,iron
auront,will have
noms,names
riche,rich
Patrick,Patrick
proposé,offers
salon,salon
territoire,territory
fixé,fixed
magasin,store
candidats,candidates
marges,margins
asiatique,Asian
inférieur,inferior
réaction,reaction
fleurs,flowers
l'effet,effect
record,record
tribunal,court
recettes,receipts
poursuivre,to chase
dessous,underneath
portant,wearing
Aussi,Also
Sabena,Sabena
acteurs,actors
dehors,outside
constructeur,manufacturer
l'auteur,author
relation,relationship
offrent,offer
spectaculaire,spectacular
LUF,Luf
produire,produce
confort,comfort
familles,families
investir,invest
reprend,resumes
sert,serve
montrer,to show
mérite,deserved
places,places
Soit,That is
judiciaire,judicial
textes,text
quasi,quasi
SNCB,SNCB
jeux,games
permettra,will allow
étudiants,students
membre,member
photos,Pictures
positions,positions
sud,South
Cockerill,Cockerill
lendemain,the following day
cent,hundred
gagné,won
japonais,Japanese
l'absence,absence
mark,mark
pointe,point
solide,solid
Voici,here is
anglais,English
n'ai,have
présentent,present
décisions,decisions
législation,legislation
médias,media
victimes,victims
écran,screen
nécessairement,necessarily
découverte,discovery
l'assuré,the insured
club,club
environnement,environment
noter,to note
crée,created
exportations,exports
négociations,negotiations
Jan,Jan
répond,respond
BEL,Good
entier,whole
business,business
peinture,paint
s'était,is silent
voisins,neighbors
faibles,low
location,rent
nord,North
promotion,promotion
technologies,technologies
auraient,would have
caisse,checkout
entend,hears
simples,simple
maladie,sickness
menu,menu
chances,chances
commerciaux,commercial
printemps,spring
Benelux,Benelux
poser,to pose
Asie,Asia
l'utilisation,use
usage,use
PIB,GDP
actionnaire,shareholder
prennent,takes
résistance,resistance
Dow,Dow
II,Ii
surprise,surprise
Etats,States
mariage,wedding
nécessité,need
Puis,Then
cote,rating
Plusieurs,Several
beauté,beauty
exclusivement,exclusively
lettre,letter
payé,paid
rendu,rendering
s'ils,if they
software,software
utile,useful
gestionnaires,managers
bénéficie,enjoys
procédé,process
vaste,vast
crois,believe
normal,normal
Centre,Center
construire,to build
démarche,Steps
emprunts,loose
naissance,birth
D'autant,Especially
Co,Co
d'information,of information
distance,distance
tourner,turn
Club,Club
attendant,waiting
quantité,amount
roi,King
l'assureur,The insurer
tourne,turned
ajoute,add
bancaires,banking
ajouter,add
géant,giant
automatique,Automatique
faux,false
attend,waits
litres,liters
présenté,present
argent,money
confirme,confirmed
indépendants,independent
l'ordinateur,the computer
énorme,huge
destinés,intended
l'avantage,The advantage
véhicules,vehicle
ressources,resources
standard,standard
auparavant,previously
construit,built
Quelle,What
principales,main
quelqu'un,someone
disposer,dispose
global,global
écoles,schools
Quel,What
réputation,reputation
fameux,famous
rappelle,remember
conseille,advise
heure,time
veille,day before
difficulté,difficulty
l'état,state
limites,limits
commerciales,commercial
samedi,Saturday
palais,palace
vend,sell
vit,lives
Tractebel,Trartebel
connaissent,know
reprendre,to resume
village,town
emploi,use
amis,friends
budgétaire,budgetary
croit,believer
mises,miserable
souci,worry
contient,contains
habitants,residents
Weekend,Weekend
bras,arm
beaux,good
bruxelloise,brussels
faisait,made
introduit,introduced
intérieur,interior
outils,tools
précis,precise
chercheurs,researchers
taxe,tax
salaire,salary
transactions,transactions
Christian,Christian
chambre,bedroom
portée,scope
réflexion,reflection
AG,AG
C'était,It was
d'emploi,job
hasard,chance
matin,morning
assureurs,insurers
réforme,reform
Beaucoup,A lot
fournir,to supply
recherches,research
liés,linked
tenue,outfit
proposent,propose
aide,aid
ferme,closed
l'enfant,child
l'or,gold
secondes,seconds
CGER,Cger
contenu,contents
quotidien,day-to-day
flamande,flame
centaines,hundreds
course,race
billet,ticket
critique,critical
l'arrivée,the arrival
naturel,natural
principale,main
support,support
week-end,weekend
Dehaene,DEHAENE
Gand,Gand
chargé,charge
économies,savings
Nos,Our
augmente,increases
guide,guide
proposition,proposal
laissé,leash
spécialiste,specialist
francophones,francophones
importance,importance
vent,wind
conception,design
préférence,preference
spectacle,spectacle
avenir,to come up
d'entrée,entrance
grave,serious
commencer,to start
d'années,years
diminuer,decrease
chercher,to look for
bonheur,happiness
dizaines,tens
LE,THE
d'environ,about
exactement,exactly
outil,tool
scénario,scenario
Jones,Jones
coups,shots
émissions,emissions
éventuellement,eventually
Royale,Royal
